name,slug,city,status,matched_polygon,score
Comal Bluff,comal-bluff,Austin,NEEDS_POLYGON,Eagle Bluff,0.727
Comanche Canyon Ranch,comanche-canyon-ranch,Lake Travis,HAS_POLYGON,comanche-canyon-ranch,1.0
Comanche Point,comanche-point,Lake Travis,HAS_POLYGON,comanche-point,1.0
Comanche Trail,comanche-trail,Lake Travis,HAS_POLYGON,comanche-trail,1.0
Comanche Trail Estates,comanche-trail-estates,Lake Travis,HAS_POLYGON,comanche-trail-estates,1.0
Comanche Village,comanche-village,Lake Travis,HAS_POLYGON,comanche-village,1.0
Commander's Point Estates,commanders-point-estates,Lake Travis,HAS_POLYGON,commanders-point-estates,1.0
Cooper Lane,cooper-lane,Austin,HAS_POLYGON,cooper-lane,1.0
Cooper's Hill,coopers-hill,Austin,NEEDS_POLYGON,Cooper Mill,0.833
Copperfield,copperfield,Pflugerville,HAS_POLYGON,copperfield,1.0
Coppertree,coppertree,Austin,HAS_POLYGON,coppertree,1.0
Coronado Hills,coronado-hills,Austin,HAS_POLYGON,coronado-hills,1.0
Corridor Park,corridor-park,Round Rock,HAS_POLYGON,corridor-park,1.0
Cortona,cortona,West Lake Hills,HAS_POLYGON,cortona,1.0
Costa Bella,costa-bella,Lake Travis,HAS_POLYGON,costa-bella,1.0
Cottonwood Creek,cottonwood-creek,Hutto,HAS_POLYGON,cottonwood-creek,1.0
Country Club Acres Country West,country-club-acres-country-west,Georgetown,NEEDS_POLYGON,Country Club Creek,0.694
Countryside,countryside,West Lake Hills,HAS_POLYGON,countryside,1.0
County Estates,county-estates,Hutto,FUZZY_MATCH,Country Estates,0.966
County Estates II,county-estates-ii,Hutto,FUZZY_MATCH,Country Estates,0.875
County Glen,county-glen,Leander,HAS_POLYGON,county-glen,1.0
Coventry Crossing,coventry-crossing,Cedar Park,HAS_POLYGON,coventry-crossing,1.0
Creek Bend,creek-bend,Hutto,HAS_POLYGON,creek-bend,1.0
Creek of Driftwood,creek-of-driftwood,,HAS_POLYGON,creek-of-driftwood,1.0
Creek View,creek-view,Round Rock,HAS_POLYGON,creek-view,1.0
Creekmont West,creekmont-west,Round Rock,HAS_POLYGON,creekmont-west,1.0
Creekside Estates,creekside-estates,Hutto,HAS_POLYGON,creekside-estates,1.0
Creekview,creekview,Cedar Park,HAS_POLYGON,creekview,1.0
Crestview,crestview,Austin,HAS_POLYGON,crestview,1.0
Cross Creek,cross-creek,Leander,HAS_POLYGON,cross-creek,1.0
Cross Trails,cross-trails,Round Rock,HAS_POLYGON,cross-trails,1.0
Crossing at Carriage Hills,crossing-at-carriage-hills,Cedar Park,HAS_POLYGON,crossing-at-carriage-hills,1.0
Crossing at Parmer Lane,crossing-at-parmer-lane,Austin,HAS_POLYGON,crossing-at-parmer-lane,1.0
Crosswind,crosswind,Lake Travis,HAS_POLYGON,crosswind,1.0
Crowley Crossing,crowley-crossing,Round Rock,NEEDS_POLYGON,Cherry Crossing,0.774
Crystal Knoll,crystal-knoll,Georgetown,NEEDS_POLYGON,Crystal Falls,0.769
Crystal Mountain,crystal-mountain,West Lake Hills,HAS_POLYGON,crystal-mountain,1.0
Crystal Park,crystal-park,Round Rock,NEEDS_POLYGON,Central Park,0.75
Cypress Addition,cypress-addition,Round Rock,NEEDS_POLYGON,Cypress Canyon,0.733
Cypress Canyon,cypress-canyon,Cedar Park,HAS_POLYGON,cypress-canyon,1.0
Cypress Canyon Preserve,cypress-canyon-preserve,Cedar Park,NEEDS_POLYGON,Cypress Canyon,0.757
Cypress Creek,cypress-creek,Cedar Park,HAS_POLYGON,cypress-creek,1.0
