name,slug,city,status,matched_polygon,score
Supont,supont,Round Rock,NEEDS_POLYGON,Sunset,0.667
Taylor,taylor,Texas,NEEDS_POLYGON,Taylor Draper,0.632
Tech Ridge Center,tech-ridge-center,Austin,NEEDS_POLYGON,Heritage Center,0.75
The Canyon - The Preserve,the-canyon-the-preserve,Austin,NEEDS_POLYGON,The Terrace at the Preserve,0.731
The Centerpiece At Academy Place,the-centerpiece-at-academy-place,Lake Travis,NEEDS_POLYGON,The Preserve at River Place,0.644
The Centrum,the-centrum,Austin,NEEDS_POLYGON,The Avenue,0.667
The Courtyard,the-courtyard,Austin,NEEDS_POLYGON,Courtyard,0.818
The Estates at Westridge,the-estates-at-westridge,Austin,NEEDS_POLYGON,Steiner Ranch The Estates at Westridge,0.774
The Hermitage,the-hermitage,Round Rock,NEEDS_POLYGON,Hermitage,0.818
The Hills at Westridge,the-hills-at-westridge,Austin,NEEDS_POLYGON,The Valley at Eastridge,0.8
The Hills of Lakeway,the-hills-of-lakeway,Lake Travis,NEEDS_POLYGON,The Hills of Hays,0.811
The Meadows of Great Hills,the-meadows-of-great-hills,Austin,NEEDS_POLYGON,The Bluffs of Great Hills,0.784
The Pinnacle,the-pinnacle,Georgetown,NEEDS_POLYGON,Pinnacle,0.8
The Plaza at Slaughter Creek,the-plaza-at-slaughter-creek,Austin,NEEDS_POLYGON,The Reserve at Slaughter Creek,0.793
The Point at Singleton Bend,the-point-at-singleton-bend,Lake Travis,NEEDS_POLYGON,The Park at Battle Bend,0.64
The Towers of Lakeway,the-towers-of-lakeway,Lake Travis,NEEDS_POLYGON,Woods of Lakeway,0.703
The Triangle,the-triangle,Austin,NEEDS_POLYGON,The Quadrangle,0.769
The Vistas at Lakeway,the-vistas-at-lakeway,Lake Travis,NEEDS_POLYGON,Vistas of Lakeway,0.789
Thunderbird Farms,thunderbird-farms,Austin,NEEDS_POLYGON,Thunderbird Village,0.722
Timber Village,timber-village,Austin,NEEDS_POLYGON,Meyer Village,0.815
Townwest Commons,townwest-commons,Hutto,NEEDS_POLYGON,Stonewood Commons,0.667
Twin Meadow Creek,twin-meadow-creek,Manor,NEEDS_POLYGON,Meadow Creek,0.828
Valle Escondido,valle-escondido,Austin,NEEDS_POLYGON,Valley View Condos,0.727
Vaught Ranch,vaught-ranch,Austin,NEEDS_POLYGON,Walsh Ranch,0.696
Village at River Oaks,village-at-river-oaks,Austin,NEEDS_POLYGON,VILLAGE AT WESTERN OAKS,0.818
